,element_in,element_in_cost,element_out,element_out_cost,entry,event,time
0,297,71,415,82,2349732,38,2024-05-19T05:56:08.608360Z
1,208,53,14,86,2349732,37,2024-05-10T16:23:20.093120Z
2,355,142,60,89,2349732,37,2024-05-10T16:23:20.087839Z
3,407,47,427,56,2349732,37,2024-05-08T12:21:30.240354Z
4,369,53,616,49,2349732,35,2024-04-26T03:31:04.728362Z
5,29,60,508,45,2349732,35,2024-04-26T03:31:04.728106Z
6,14,86,450,58,2349732,35,2024-04-26T03:31:04.727857Z
7,60,90,355,140,2349732,35,2024-04-26T03:31:04.727535Z
8,506,58,639,44,2349732,35,2024-04-25T13:10:16.640442Z
9,450,58,504,78,2349732,35,2024-04-25T13:10:16.639991Z
10,616,49,545,47,2349732,35,2024-04-25T12:56:48.811364Z
11,504,78,412,58,2349732,35,2024-04-25T12:53:58.302448Z
12,639,44,506,58,2349732,35,2024-04-25T12:53:58.301699Z
13,232,51,211,68,2349732,35,2024-04-25T12:53:58.301383Z
14,508,45,377,52,2349732,35,2024-04-25T12:53:58.301075Z
15,349,104,353,82,2349732,35,2024-04-25T12:53:58.300718Z
16,427,56,20,56,2349732,35,2024-04-22T14:59:05.416938Z
17,152,44,28,38,2349732,35,2024-04-22T14:59:05.416695Z
18,263,47,77,46,2349732,35,2024-04-22T14:59:05.416459Z
19,506,58,290,84,2349732,35,2024-04-22T14:59:05.416215Z
20,211,68,279,46,2349732,35,2024-04-22T14:59:05.415964Z
21,415,80,85,70,2349732,35,2024-04-22T14:59:05.415717Z
22,373,83,226,61,2349732,35,2024-04-22T14:59:05.415446Z
23,353,82,308,134,2349732,35,2024-04-22T14:59:05.415192Z
24,516,98,19,89,2349732,35,2024-04-22T14:59:05.414873Z
25,290,84,757,42,2349732,34,2024-04-20T03:59:15.383643Z
26,226,61,516,98,2349732,34,2024-04-20T03:59:15.377861Z
27,545,47,342,50,2349732,32,2024-04-06T02:14:21.618695Z
28,279,47,60,87,2349732,31,2024-04-02T16:34:15.633373Z
29,308,133,353,80,2349732,31,2024-04-02T16:34:15.630389Z
30,757,42,131,49,2349732,30,2024-03-30T02:43:20.636688Z
31,101,45,77,46,2349732,29,2024-03-13T15:47:27.105168Z
32,506,58,203,42,2349732,29,2024-03-13T15:47:27.104938Z
33,43,57,353,80,2349732,29,2024-03-13T15:47:27.104701Z
34,504,80,362,53,2349732,29,2024-03-13T15:47:27.104413Z
35,526,80,19,90,2349732,29,2024-03-13T15:47:27.104175Z
36,200,50,355,142,2349732,29,2024-03-13T15:47:27.103912Z
37,117,81,85,70,2349732,29,2024-03-13T15:47:27.103455Z
38,447,57,412,58,2349732,29,2024-03-13T15:47:27.102978Z
39,321,47,377,52,2349732,29,2024-03-13T15:47:27.102492Z
40,508,44,20,55,2349732,29,2024-03-13T15:47:27.102020Z
41,457,45,342,51,2349732,29,2024-03-13T15:47:27.101647Z
42,688,45,131,49,2349732,29,2024-03-13T15:47:27.101350Z
43,614,45,28,39,2349732,29,2024-03-13T15:47:27.101049Z
44,516,98,557,55,2349732,28,2024-03-08T22:47:52.659655Z
45,77,46,409,41,2349732,27,2024-03-02T13:08:24.812756Z
46,377,52,311,45,2349732,26,2024-02-24T07:49:55.897240Z
47,557,56,294,81,2349732,26,2024-02-23T13:50:36.855590Z
48,342,51,519,48,2349732,25,2024-02-16T15:19:06.870216Z
49,355,140,212,74,2349732,23,2024-02-02T21:38:56.771942Z
50,294,79,516,97,2349732,22,2024-01-30T17:28:05.396900Z
51,203,42,139,39,2349732,21,2024-01-12T17:32:09.012002Z
52,353,79,308,129,2349732,21,2024-01-12T17:22:38.492726Z
53,131,50,290,84,2349732,21,2024-01-12T17:22:38.482576Z
54,290,84,430,66,2349732,20,2023-12-30T06:08:22.837895Z
55,212,74,293,75,2349732,20,2023-12-30T06:08:22.829812Z
56,85,68,343,69,2349732,18,2023-12-21T16:22:42.730739Z
57,60,85,355,140,2349732,17,2023-12-15T17:00:28.933833Z
58,516,97,196,42,2349732,17,2023-12-15T17:00:28.933353Z
59,519,48,206,53,2349732,17,2023-12-15T17:00:28.925627Z
60,409,40,230,46,2349732,15,2023-12-05T15:36:30.639782Z
61,19,88,516,94,2349732,14,2023-12-02T05:02:06.420305Z
62,293,76,60,82,2349732,14,2023-12-02T05:02:06.408801Z
63,206,53,36,50,2349732,13,2023-11-24T21:35:52.522665Z
64,20,53,407,46,2349732,12,2023-11-11T03:29:08.711900Z
65,362,50,567,57,2349732,11,2023-11-03T13:36:30.429889Z
66,311,45,519,47,2349732,10,2023-10-27T12:18:10.642462Z
67,60,80,135,53,2349732,8,2023-10-05T12:51:43.309184Z
68,412,56,373,84,2349732,8,2023-10-05T12:51:43.308684Z
69,196,43,216,71,2349732,8,2023-10-05T12:51:43.308461Z
70,567,57,108,67,2349732,8,2023-10-05T12:51:43.308235Z
71,516,93,353,76,2349732,8,2023-10-05T12:51:43.307979Z
72,308,126,19,85,2349732,8,2023-10-05T12:51:43.307746Z
73,407,46,602,40,2349732,8,2023-10-05T12:51:43.307502Z
74,139,39,131,51,2349732,8,2023-10-05T12:51:43.307205Z
75,36,48,195,55,2349732,7,2023-09-30T04:12:16.339311Z
76,430,65,5,48,2349732,6,2023-09-22T16:20:49.687774Z
77,343,69,211,70,2349732,6,2023-09-22T16:20:49.678781Z
78,216,72,509,69,2349732,4,2023-08-31T22:30:45.263947Z
79,108,67,52,45,2349732,3,2023-08-25T15:06:37.057297Z
80,353,76,308,125,2349732,3,2023-08-25T15:06:37.050722Z
